job_name,company,lokasi,tingkat_job,lama_pengalaman,jenis_job,ukuran_company,industri,gaji,median_gaji
data scientist,perusahaan dirahasiakan,dki jakarta,senior tingkat menengah,5.0,penuh waktu,,,"[20000000, 25000000]",22500000.0
data scientist,pt main games indonesia (jakarta),dki jakarta,asosiasi,3.0,penuh waktu,1-50 pekerja,teknologi informasi dan komunikasi,,
data scientist,pt mega central finance,dki jakarta,senior tingkat menengah,5.0,penuh waktu,1.001-5.000 pekerja,keuangan,,
data scientist,kompas gramedia - kg media - kg media,dki jakarta,asosiasi,3.0,penuh waktu,1-50 pekerja,media,,
data scientist,pt berlian sistem informasi,dki jakarta,asosiasi,3.0,penuh waktu,201-500 pekerja,teknologi informasi dan komunikasi,,
data scientist,pt. lippo karawaci tbk,banten,asosiasi,4.0,penuh waktu,1.001-5.000 pekerja,properti,,
data scientist,pt sharing vision indonesia,dki jakarta,asosiasi,2.0,penuh waktu,51-200 pekerja,konsultasi,"[12000000, 20000000]",16000000.0
data scientist,pt kamoro maxima integra,dki jakarta,asosiasi,3.0,penuh waktu,51-200 pekerja,teknologi informasi dan komunikasi,,
data scientist,pt eigerindo multi produk industri,jawa barat,asosiasi,3.0,penuh waktu,1.001-5.000 pekerja,ekonomi,,
data scientist,yayasan aidhub indonesia,bali,senior tingkat menengah,2.0,penuh waktu,1-50 pekerja,teknologi informasi dan komunikasi,"[9000000, 12600000]",10800000.0
data scientist,pt. prima vista solusi,dki jakarta,senior tingkat menengah,5.0,penuh waktu,501-1.000 pekerja,teknologi informasi dan komunikasi,,
data scientist,pt kideco jaya agung (kideco),kalimantan timur,senior tingkat menengah,2.0,kontrak,201-500 pekerja,pertambangan,,
data scientist,pt os selnajaya indonesia,dki jakarta,senior tingkat menengah,5.0,penuh waktu,201-500 pekerja,konsultasi,,
data scientist,pt. persolkelly recruitment indonesia,dki jakarta,asosiasi,3.0,penuh waktu,1.001-5.000 pekerja,konsultasi,,
data scientist,pt dua empat tujuh,dki jakarta,asosiasi,1.0,penuh waktu,501-1.000 pekerja,konsultasi,,
data scientist,pt pratesis,dki jakarta,asosiasi,1.0,penuh waktu,51-200 pekerja,konsultasi,,
data scientist,pt metra-net,dki jakarta,asosiasi,2.0,kontrak,51-200 pekerja,teknologi informasi dan komunikasi,"[5000000, 7000000]",6000000.0
data scientist,pt prodia widyahusada tbk,dki jakarta,asosiasi,1.0,penuh waktu,1.001-5.000 pekerja,kesehatan,,
data scientist,quipper,dki jakarta,,,,,,,
data scientist,friesland campina,dki jakarta,,,,,,,
data scientist,pt finaccel teknologi indonesia,dki jakarta,,,,201-500 pekerja,keuangan,,
data scientist,pt metrodata electronics tbk,dki jakarta,,,,1.001-5.000 pekerja,konsultasi,,
data scientist,pt grab taxi indonesia,dki jakarta,,,,201-500 pekerja,teknologi informasi dan komunikasi,,
data analyst,"pt bank sinarmas, tbk",dki jakarta,asosiasi,2.0,penuh waktu,>5.000 pekerja,keuangan,,
data analyst,pt link net,banten,senior tingkat menengah,2.0,kontrak,501-1.000 pekerja,media,"[15000000, 25000000]",20000000.0
data analyst,pt indika multi properti,dki jakarta,senior tingkat menengah,7.0,penuh waktu,1-50 pekerja,properti,,
data analyst,pt asyx indonesia,banten,asosiasi,1.0,penuh waktu,1-50 pekerja,teknologi informasi dan komunikasi,,
data analyst,pt. majoo teknologi indonesia,dki jakarta,asosiasi,2.0,penuh waktu,201-500 pekerja,keuangan,,
data analyst,pt parkland world indonesia (adidas),banten,asosiasi,1.0,penuh waktu,>5.000 pekerja,ekonomi,"[4500000, 5300000]",4900000.0
data analyst,pt ako media asia,dki jakarta,senior tingkat menengah,5.0,penuh waktu,51-200 pekerja,konsultasi,,
data analyst,pt smartfren telecom tbk,dki jakarta,tingkat pemula,,penuh waktu,1.001-5.000 pekerja,teknologi informasi dan komunikasi,,
data analyst,jd .id (pt ritel bersama nasional),dki jakarta,senior tingkat menengah,5.0,penuh waktu,501-1.000 pekerja,ekonomi,,
data analyst,pt agate international,jawa barat,asosiasi,,penuh waktu,51-200 pekerja,media,,
data analyst,pt atana technologies indonesia,jawa timur,asosiasi,1.0,penuh waktu,1-50 pekerja,teknologi informasi dan komunikasi,,
data analyst,perusahaan dirahasiakan,dki jakarta,asosiasi,2.0,penuh waktu,,,,
data analyst,pt. kalbe farma tbk. (international division),dki jakarta,senior tingkat menengah,2.0,penuh waktu,201-500 pekerja,kesehatan,,
data analyst,pt ultra prima abadi (orang tua group),dki jakarta,asosiasi,1.0,penuh waktu,>5.000 pekerja,ekonomi,,
data analyst,pt. lg cns indonesia,dki jakarta,asosiasi,5.0,kontrak,1-50 pekerja,teknologi informasi dan komunikasi,"[12000000, 18000000]",15000000.0
data analyst,pt ming jaya sejahtera,jawa timur,asosiasi,,penuh waktu,51-200 pekerja,ekonomi,,
data analyst,pt pepper services indonesia,dki jakarta,senior tingkat menengah,5.0,penuh waktu,201-500 pekerja,keuangan,,
data analyst,pt abc kogen dairy,dki jakarta,asosiasi,3.0,penuh waktu,51-200 pekerja,ekonomi,,
data analyst,pt cimb niaga tbk,dki jakarta,asosiasi,1.0,penuh waktu,>5.000 pekerja,keuangan,,
data analyst,pt ads komunikasi indonesia,dki jakarta,asosiasi,1.0,penuh waktu,51-200 pekerja,pemasaran & periklanan,"[3000000, 4000000]",3500000.0
data analyst,"pt smart,tbk",dki jakarta,senior tingkat menengah,2.0,penuh waktu,>5.000 pekerja,agrikultur,,
data analyst,pt allure alluminio,dki jakarta,asosiasi,3.0,penuh waktu,201-500 pekerja,konstruksi,,
data analyst,pt. multifortuna sinardelta,dki jakarta,asosiasi,2.0,kontrak,201-500 pekerja,ekonomi,,
data analyst,rgf hr agent indonesia,dki jakarta,asosiasi,3.0,penuh waktu,1-50 pekerja,,"[15000000, 30000000]",22500000.0
data analyst,pt wook global technology,dki jakarta,senior tingkat menengah,2.0,penuh waktu,1.001-5.000 pekerja,elektronik,,
data analyst,magix metro media,dki jakarta,asosiasi,1.0,penuh waktu,51-200 pekerja,acara,"[3500000, 4500000]",4000000.0
data analyst,maxi group,dki jakarta,senior tingkat menengah,5.0,penuh waktu,201-500 pekerja,pakaian & mode,,
data analyst,pt fajar mas murni,jawa barat,asosiasi,2.0,penuh waktu,201-500 pekerja,permesinan,,
data analyst,pt finaccel teknologi indonesia,dki jakarta,asosiasi,2.0,penuh waktu,201-500 pekerja,keuangan,,
data analyst,pt big fish hunter,dki jakarta,senior tingkat menengah,3.0,penuh waktu,1-50 pekerja,konsultasi,"[40000000, 60000000]",50000000.0
data analyst,pt ratna dewi tunggal abadi textile,dki jakarta,tingkat pemula,,penuh waktu,51-200 pekerja,ekonomi,,
data analyst,pt great giant pineapple,dki jakarta,asosiasi,2.0,penuh waktu,>5.000 pekerja,agrikultur,,
data analyst,pt samudera indonesia tbk,dki jakarta,senior tingkat menengah,1.0,penuh waktu,1.001-5.000 pekerja,transportasi,"[7000000, 11000000]",9000000.0
data analyst,pt pp london sumatra indonesia.tbk,dki jakarta,asosiasi,1.0,penuh waktu,>5.000 pekerja,agrikultur,,
data analyst,pt asuransi jiwa sinarmas msig tbk.,dki jakarta,asosiasi,3.0,penuh waktu,501-1.000 pekerja,keuangan,,
data analyst,indokaryaabadi,banten,senior tingkat menengah,2.0,penuh waktu,1-50 pekerja,ekonomi,,
data analyst,pt eigerindo multi produk industri,jawa barat,asosiasi,1.0,penuh waktu,1.001-5.000 pekerja,ekonomi,,
data analyst,pt. kalbe farma tbk. (international division),dki jakarta,senior tingkat menengah,5.0,penuh waktu,201-500 pekerja,kesehatan,,
data analyst,pt enseval putera megatrading tbk,dki jakarta,magang,,paruh waktu,>5.000 pekerja,transportasi,,
data analyst,pt valbury sekuritas indonesia,dki jakarta,asosiasi,1.0,penuh waktu,201-500 pekerja,saham,,
data analyst,"pt wahana ottomitra multiartha (wom finance), tbk",dki jakarta,senior tingkat menengah,1.0,penuh waktu,>5.000 pekerja,keuangan,,
data analyst,ismaya group,dki jakarta,tingkat pemula,,penuh waktu,1.001-5.000 pekerja,makanan & minuman,,
data analyst,pt esensi solusi buana,banten,asosiasi,1.0,penuh waktu,51-200 pekerja,teknologi informasi dan komunikasi,"[6000000, 10000000]",8000000.0
data analyst,pt charoen pokphand indonesia,dki jakarta,tingkat pemula,,penuh waktu,>5.000 pekerja,agrikultur,,
data analyst,pt jac indonesia,dki jakarta,senior tingkat menengah,5.0,penuh waktu,51-200 pekerja,,"[15000000, 19500000]",17250000.0
data analyst,pt lucky mom indonesia,dki jakarta,asosiasi,2.0,penuh waktu,201-500 pekerja,ekonomi,,
data analyst,pt morula indonesia,jawa timur,asosiasi,2.0,penuh waktu,201-500 pekerja,kesehatan,,
data analyst,boga group,banten,asosiasi,1.0,penuh waktu,1.001-5.000 pekerja,makanan & minuman,,
data analyst,pt surya pratista hutama (suprama),jawa timur,asosiasi,1.0,kontrak,1.001-5.000 pekerja,ekonomi,,
data analyst,pt mindo small business solutions,diy,asosiasi,2.0,penuh waktu,51-200 pekerja,konsultasi,"[2500000, 4000000]",3250000.0
data analyst,pt bussan auto finance (baf),dki jakarta,senior tingkat menengah,2.0,penuh waktu,>5.000 pekerja,keuangan,,
data analyst,pt teknologi api dua sisi,dki jakarta,asosiasi,2.0,penuh waktu,51-200 pekerja,teknologi informasi dan komunikasi,"[8000000, 15000000]",11500000.0
data analyst,perusahaan dirahasiakan,dki jakarta,asosiasi,3.0,penuh waktu,,,,
data analyst,pt global unggul mandiri (paxel),dki jakarta,senior tingkat menengah,3.0,penuh waktu,201-500 pekerja,transportasi,,
data analyst,ecloudvalley technology limited,dki jakarta,senior tingkat menengah,2.0,penuh waktu,201-500 pekerja,konsultasi,"[20000000, 32000000]",26000000.0
data analyst,pt atria artha persada,sumatera utara,asosiasi,1.0,penuh waktu,51-200 pekerja,ekonomi,,
data analyst,pt global unggul mandiri (paxel),dki jakarta,senior tingkat menengah,5.0,penuh waktu,201-500 pekerja,transportasi,,
data analyst,pt indonesia logam pratama,dki jakarta,asosiasi,3.0,penuh waktu,1-50 pekerja,ekonomi,,
data analyst,pt. elabram systems,dki jakarta,tingkat pemula,,penuh waktu,51-200 pekerja,,"[6000000, 7000000]",6500000.0
data analyst,pt. panthera biru indonesia,dki jakarta,asosiasi,2.0,penuh waktu,51-200 pekerja,transportasi,,
data analyst,pt adlink sinemedia indonesia,dki jakarta,asosiasi,3.0,penuh waktu,51-200 pekerja,pemasaran & periklanan,,
data analyst,ottopay,dki jakarta,senior tingkat menengah,2.0,penuh waktu,201-500 pekerja,konsultasi,,
data analyst,pt.nugraha indah citarasa indonesia,dki jakarta,tingkat pemula,,penuh waktu,201-500 pekerja,ekonomi,"[5000000, 5500000]",5250000.0
data analyst,"tri7 solutions, inc.",,tingkat pemula,,penuh waktu,201-500 pekerja,bpo,,
data analyst,pt hino motors sales indonesia,dki jakarta,asosiasi,2.0,kontrak,201-500 pekerja,ekonomi,,
data analyst,boga group,banten,senior tingkat menengah,2.0,penuh waktu,1.001-5.000 pekerja,makanan & minuman,,
data analyst,pt tani hub indonesia,dki jakarta,asosiasi,3.0,penuh waktu,201-500 pekerja,teknologi informasi dan komunikasi,"[13000000, 18200000]",15600000.0
data analyst,pt bussan auto finance (baf),dki jakarta,asosiasi,1.0,penuh waktu,>5.000 pekerja,keuangan,,
data analyst,pt seahub media indonesia,dki jakarta,asosiasi,1.0,penuh waktu,51-200 pekerja,media,,
data analyst,pt. sumbawa apsara beton,dki jakarta,asosiasi,1.0,penuh waktu,1.001-5.000 pekerja,konstruksi,"[5500000, 7700000]",6600000.0
data analyst,"pt wahana ottomitra multiartha (wom finance), tbk",dki jakarta,tingkat pemula,,kontrak,>5.000 pekerja,keuangan,,
data analyst,pt enseval putera megatrading tbk,dki jakarta,asosiasi,1.0,penuh waktu,>5.000 pekerja,transportasi,,
data analyst,pt. aurora group,dki jakarta,asosiasi,2.0,penuh waktu,1-50 pekerja,konsultasi,"[10000000, 13000000]",11500000.0
data analyst,pt priamanaya energi,dki jakarta,asosiasi,2.0,penuh waktu,201-500 pekerja,konstruksi,,
data analyst,pt akasha wira international tbk,dki jakarta,asosiasi,1.0,penuh waktu,1.001-5.000 pekerja,ekonomi,"[4400000, 5720000]",5060000.0
data analyst,pt surya dermato medica labs,dki jakarta,asosiasi,2.0,penuh waktu,201-500 pekerja,kesehatan,,
